Year,Region Name,Country Code,Country Name,Total Number of Deaths,Number of Deaths Per 100000 of Population,World Bank Classification Region,World Bank Income Classification,Income Classification Code
2014,Europe,ROU,Romania,0,0,Europe & Central Asia,High income,HIC
2014,Europe,RUS,Russian Federation,32,1.1,Europe & Central Asia,High income,HIC
2014,Europe,SRB,Serbia,0,0,Europe & Central Asia,Upper middle income,UMIC
2014,Europe,SVK,Slovakia,0,0,Europe & Central Asia,High income,HIC
2014,Europe,SVN,Slovenia,0,0,Europe & Central Asia,High income,HIC
2014,Europe,ESP,Spain,0,0,Europe & Central Asia,High income,HIC
2014,Europe,SWE,Sweden,0,0,Europe & Central Asia,High income,HIC
2014,Europe,CHE,Switzerland,0,0,Europe & Central Asia,High income,HIC
2014,Europe,UKR,Ukraine,4,0.4,Europe & Central Asia,Upper middle income,UMIC
2014,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2,0.1,Europe & Central Asia,High income,HIC
2014,North America and the Caribbean,ATG,Antigua and Barbuda,0,0,Latin America & Caribbean,High income,HIC
2014,North America and the Caribbean,BHS,Bahamas,0,0,Latin America & Caribbean,High income,HIC
2014,North America and the Caribbean,CAN,Canada,1,0.3,North America,High income,HIC
2014,North America and the Caribbean,CUB,Cuba,2,0.9,Latin America & Caribbean,Upper middle income,UMIC
2014,North America and the Caribbean,DMA,Dominica,0,0,Latin America & Caribbean,Upper middle income,UMIC
2014,North America and the Caribbean,DOM,Dominican Republic,44,18.3,Latin America & Caribbean,Upper middle income,UMIC
2014,North America and the Caribbean,GRD,Grenada,0,0,Latin America & Caribbean,Upper middle income,UMIC
2014,North America and the Caribbean,GLP,Guadeloupe,0,0,,Not Classified,
2014,North America and the Caribbean,JAM,Jamaica,0,0,Latin America & Caribbean,Upper middle income,UMIC
2014,North America and the Caribbean,MTQ,Martinique,0,0,,Not Classified,
2014,North America and the Caribbean,PRI,Puerto Rico,0,0,Latin America & Caribbean,High income,HIC
2014,North America and the Caribbean,KNA,Saint Kitts and Nevis,0,0,Latin America & Caribbean,High income,HIC
2014,North America and the Caribbean,LCA,Saint Lucia,0,0,Latin America & Caribbean,Upper middle income,UMIC
2014,North America and the Caribbean,VCT,Saint Vincent and the Grenadines,0,0,Latin America & Caribbean,Upper middle income,UMIC
2014,North America and the Caribbean,TTO,Trinidad and Tobago,3,7.8,Latin America & Caribbean,High income,HIC
2014,North America and the Caribbean,USA,United States of America,13,0.2,North America,High income,HIC
2014,Oceania,AUS,Australia,0,0,East Asia & Pacific,High income,HIC
2014,Oceania,NZL,New Zealand,0,0,East Asia & Pacific,High income,HIC
2015,Africa,EGY,Egypt,386,12.1,Middle East & North Africa,Lower middle income,LMIC
2015,Africa,MUS,Mauritius,0,0,Sub-Saharan Africa,Upper middle income,UMIC
2015,Asia,ARM,Armenia,0,0,Europe & Central Asia,Upper middle income,UMIC
2015,Africa,MYT,Mayotte,0,0,,Not Classified,
2015,Africa,REU,Reunion,0,0,,Not Classified,
2015,Africa,SYC,Seychelles,1,63.2,Sub-Saharan Africa,High income,HIC
2015,Asia,BRN,Brunei Darussalam,0,0,East Asia & Pacific,High income,HIC
2015,Africa,ZAF,South Africa,1569,91.7,Sub-Saharan Africa,Upper middle income,UMIC
2015,Asia,CYP,Cyprus,0,0,Europe & Central Asia,High income,HIC
2015,Asia,HKG,"China, Hong Kong SAR",0,0,East Asia & Pacific,High income,HIC
2015,Asia,GEO,Georgia,1,1.7,Europe & Central Asia,Upper middle income,UMIC
2015,Asia,IRN,Iran (Islamic Republic of),62,3.4,Middle East & North Africa,Upper middle income,UMIC
2015,Asia,IRQ,Iraq,55,4.3,Middle East & North Africa,Upper middle income,UMIC
2015,Asia,ISR,Israel,0,0,Middle East & North Africa,High income,HIC
2015,Asia,JPN,Japan,3,0.2,East Asia & Pacific,High income,HIC
2015,Asia,JOR,Jordan,1,0.1,Middle East & North Africa,Lower middle income,LMIC
2015,Asia,KAZ,Kazakhstan,4,0.6,Europe & Central Asia,Upper middle income,UMIC
2015,Asia,KOR,Republic of Korea,0,0,East Asia & Pacific,High income,HIC
2015,Asia,KWT,Kuwait,1,1.7,Middle East & North Africa,High income,HIC
2015,Asia,KGZ,Kyrgyzstan,8,5,Europe & Central Asia,Lower middle income,LMIC
2015,Asia,MYS,Malaysia,6,1,East Asia & Pacific,Upper middle income,UMIC
2015,Asia,MDV,Maldives,0,0,South Asia,Upper middle income,UMIC
2015,Asia,QAT,Qatar,1,4,Middle East & North Africa,High income,HIC
2015,Asia,SGP,Singapore,0,0,East Asia & Pacific,High income,HIC
2015,Asia,LKA,Sri Lanka,4,0.7,South Asia,Lower middle income,LMIC
2015,Asia,TUR,Turkey,44,2.2,Europe & Central Asia,Upper middle income,UMIC
2015,Asia,THA,Thailand,8,0.7,East Asia & Pacific,Upper middle income,UMIC
2015,Asia,TKM,Turkmenistan,2,0.4,Europe & Central Asia,Upper middle income,UMIC
2015,Asia,UZB,Uzbekistan,7,0.3,Europe & Central Asia,Lower middle income,LMIC
2015,Central and South America,ARG,Argentina,21,2.1,Latin America & Caribbean,Upper middle income,UMIC
2015,Central and South America,BLZ,Belize,1,3.3,Latin America & Caribbean,Upper middle income,UMIC
